edition,edition_id,year,country,country_noc,gold,silver,bronze,total,AG.LND.PRCP.MM,AG.SRF.TOTL.K2,BX.KLT.DINV.WD.GD.ZS,EN.POP.DNST,FP.CPI.TOTL.ZG,MS.MIL.XPND.CN,MS.MIL.XPND.GD.ZS,NE.CON.GOVT.CD,NE.DAB.TOTL.CN,NE.TRD.GNFS.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.CN,NV.SRV.TOTL.ZS,NY.GDP.DEFL.KD.ZG,NY.GDP.MKTP.CD,NY.GDP.MKTP.CN,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,NY.GNP.MKTP.CN,NY.GNP.PCAP.CD,SE.PRM.ENRR,SH.DYN.NMRT,SP.DYN.IMRT.IN,SP.DYN.LE00.IN,SP.POP.1564.TO.ZS,SP.POP.GROW,SP.POP.TOTL,SP.URB.TOTL,SP.URB.TOTL.IN.ZS
1964 Summer Olympics,16,1964,Ghana,GHA,0,0,1,1,1187.0,238540.0,,32.25038235035597,,1915.375,1.9567537718359225,145325227.10396975,103900.0,56.88456904568775,,,,4.05221625957702,1360804415.7253675,97150.0,3.981602273440983,187.54682651416675,95850.0,190.0,,,120.575,47.22,50.796616422711026,2.55029790617971,7243992.75,1760992.5,24.288478924955097
1964 Summer Olympics,16,1964,Ireland,IRL,0,0,1,1,1118.0,70280.0,,41.19175497169403,2.481296084061851,12781250.0,1.2958914844124476,,,,,,,3.3585335629720667,2246192382.8879724,1018598982.4029081,4.325749254087763,791.9757678670898,1094158090.9964004,895.0,,19.700000000000003,28.699999999999996,70.02342682926827,57.8700849812889,0.2822165739541073,2835425.0,1298780.25,45.802866142628574
1964 Summer Olympics,16,1964,Kenya,KEN,0,0,1,1,630.0,580370.0,,14.592220426140033,1.8789909913345546,10750000.0,0.181030344262768,97271961.09121555,,62.9429119902328,15.85890776443935,,,2.2677227057474716,844731420.6074317,6033798275.0,3.4870213510721833,103.52255627173054,5855724050.0,105.0,,46.325,106.39999999999999,49.66725,47.809340832684974,3.8132901613370733,8152589.0,696148.0,8.529721130498725
1964 Summer Olympics,16,1964,Mexico,MEX,0,0,1,1,758.0,1964380.0,,20.1382722463712,2.082329436615811,1192500.0,0.6834074973307955,900758000.0,185795700.0,19.0371277718349,,,,3.0635065158530366,14840000000.0,185500000.0,5.923767200288499,384.199046323709,180581550.0,385.0,,48.925,101.65,54.638250000000006,50.24417798447165,3.1992679086993903,38541999.5,20054362.0,51.998973872186
1964 Summer Olympics,16,1964,Nigeria,NGR,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964 Summer Olympics,16,1964,Uruguay,URU,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,United States,USA,45,28,34,107,715.0,9629090.0,,21.330587752321225,2.1629854569850053,63208828022.3087,8.372906125362714,,,,,,,2.3684558476242175,774675568965.5173,774675568965.5173,5.300000000000077,3961.4675819415397,775988642289.5685,3982.5,,,23.0,70.28841463414635,60.191661489047874,1.22074802471374,195366000.0,141549336.5,72.44789580228561
1968 Summer Olympics,17,1968,Soviet Union,RUS,29,32,30,91,,17098240.0,,,,,,,,,,,,,,,,,,,,,26.35,68.5584329268293,64.07109788751131,0.8400352458050808,126938500.0,74645535.25,58.79703521728515
1968 Summer Olympics,17,1968,Japan,JPN,11,7,7,25,1668.0,377800.0,,268.3290155440412,4.87176513583892,315981250000.0,0.8726028589818612,,,,,,,5.232955597836336,107587774207.40297,38731598714665.05,9.804279988309068,1091.642344842671,38340122411448.97,1055.0,,,18.45,70.71384146341465,68.80797919295901,1.01633678644105,98396250.0,67201054.25,68.28591888428414
1968 Summer Olympics,17,1968,Hungary,HUN,10,10,12,32,589.0,93030.0,,112.934081706324,,7297500000.0,,,,,,,,-6.580045699391812,,241268034914.388,15.50260356679501,,242843204188.41776,,,27.775,39.425,69.42042682926828,66.39142918525377,0.316822376124525,10165756.75,5525768.5,54.35592807765865
1968 Summer Olympics,17,1968,East Germany,GDR,9,9,7,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,France,FRA,7,3,5,15,867.0,549086.0,,92.91847342053993,2.8270185305944553,3368585840.298507,4.380229750406925,16938486199.422348,78638825000.0,27.61103785425545,30.10060632419225,39723925000.0,50.005863035241376,3.29558696245359,105436803555.45132,79357000000.0,5.34671762938516,2103.833428031555,79921000000.0,2102.5,,15.225,18.225,70.89939024390243,62.27542658039898,0.9264199388022207,50078411.25,33924745.75,67.73004201828701
1968 Summer Olympics,17,1968,Czechoslovakia,TCH,7,2,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,West Germany,FRG,5,11,10,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968 Summer Olympics,17,1968,Australia,AUS,5,7,5,17,534.0,7741220.0,,1.4971102404227876,3.2608705154661224,809750000.0,3.2114206573781447,3294760527.161685,24445500000.0,27.9189408578478,,,,3.4529929441737046,26921724307.4759,24037250000.0,5.410752562799475,2337.5323448237923,23993250000.0,2320.0,,,18.5,70.855,61.95263169868105,1.8668831463818099,11501250.0,9559524.75,83.1099131629255
1968 Summer Olympics,17,1968,Great Britain,GBR,5,5,3,13,1220.0,243610.0,,225.209926424999,3.6117737244270502,2353291293.51403,6.37944377384126,18634385623.583,,,,,,4.16318884249149,104480488435.74614,37454750000.0,3.0170828801258724,1916.84623316143,42534826689.763374,2150.0,,13.524999999999999,19.925,71.73658536585361,64.23274672080503,0.595643386801958,54485037.5,42229675.75,77.5082556107751
1968 Summer Olympics,17,1968,Poland,POL,5,2,11,18,600.0,312690.0,,103.04985063175425,,2297500.0,,,,,,,,,,,,,,,,,39.574999999999996,69.32743902439023,62.3043946462766,1.0170239566543877,31563138.75,15904299.25,50.385134084721024
1968 Summer Olympics,17,1968,Romania,ROU,4,6,5,15,637.0,238390.0,,83.2469327949987,,627450.0,,,,,,,,,,,,,,,,,48.525,67.9915,66.41187530206075,0.9606606002561531,19175098.5,7311838.25,38.12181931394973
1968 Summer Olympics,17,1968,Italy,ITA,3,4,9,16,832.0,301340.0,,177.83074359933374,4.127879523622963,576173025.0,2.807850745346535,,,,,,,3.92362584998432,74365556081.56735,24004127390.565376,4.807283172378902,1420.811182354385,24197819903.9281,1410.0,,22.45,35.175,70.59152439024393,65.27365213367122,0.791453724202432,52301800.0,32558010.25,62.24487248341632
