sport,year,n_nations,n_events,athletes_per_event,pct_team_events,hhi_gold,hhi_gold_athletes,n_nations_with_gold,mean_gold_per_athletes,hhi_total,hhi_total_athletes,n_nations_with_medal,mean_total_per_athletes
Basketball,2008,17,2,11.0,1.0,1.0,1.0,1,0.08333333333333333,0.2222222222222222,0.22448979591836743,5,0.05833333333333333
Basketball,2012,16,2,11.5,1.0,1.0,1.0,1,0.08333333333333333,0.2222222222222222,0.22448979591836743,5,0.05833333333333333
Basketball,2016,17,2,12.0,1.0,1.0,1.0,1,0.08333333333333333,0.3333333333333333,0.3333333333333333,3,0.08333333333333333
Basketball,2020,18,2,12.0,1.0,1.0,1.0,1,0.08333333333333333,0.2777777777777778,0.2777777777777778,4,0.0625
Basque pelota,1968,7,5,4.6,1.0,,,0,,,,0,
Basque pelota,1992,8,8,4.25,1.0,,,0,,,,0,
Beach Volleyball,1996,21,2,18.5,1.0,0.5,0.5200000000000001,2,0.10416666666666666,0.2777777777777778,0.2592592592592593,4,0.18749999999999997
Beach Volleyball,2000,23,2,18.5,1.0,0.5,0.5061728395061729,2,0.1125,0.33333333333333337,0.34601664684898936,4,0.18125
Beach Volleyball,2004,24,2,19.0,1.0,0.5,0.5,2,0.125,0.2777777777777778,0.2959183673469388,4,0.29166666666666663
Beach Volleyball,2008,22,2,19.0,1.0,1.0,1.0,1,0.25,0.3333333333333333,0.3400000000000001,3,0.27777777777777773
Beach Volleyball,2012,23,2,20.5,1.0,0.5,0.5,2,0.125,0.2777777777777778,0.26530612244897955,4,0.21875
Beach Volleyball,2016,24,2,19.5,1.0,0.5,0.5102040816326532,2,0.14583333333333331,0.22222222222222227,0.21500000000000008,5,0.16666666666666666
Beach Volleyball,2020,23,2,19.5,1.0,0.5,0.6800000000000002,2,0.3125,0.16666666666666669,0.21713265913146934,6,0.28472222222222227
Bowling,1988,20,2,12.0,0.0,,,0,,,,0,
Boxing,1964,52,10,25.6,0.0,0.24000000000000002,0.2370486656200941,5,0.20222222222222225,0.12000000000000002,0.09097733966528448,17,0.359547152194211
Boxing,1968,61,11,27.727272727272727,0.0,0.17355371900826447,0.16248791310646968,7,0.17334054834054835,0.08161157024793388,0.061788337924472754,21,0.2685236720951007
Boxing,1972,74,11,31.545454545454547,0.0,0.15702479338842973,0.15725931336742144,8,0.16684704184704185,0.06301652892561982,0.058060534439039635,22,0.2972484586120949
Boxing,1976,51,11,24.545454545454547,0.0,0.30578512396694213,0.25528973575535574,5,0.2553030303030303,0.10743801652892561,0.08464357703921081,16,0.3477137445887446
Boxing,1980,39,11,20.90909090909091,0.0,0.33884297520661144,0.28245249032395103,6,0.19806397306397305,0.12706611570247933,0.09926252269393762,16,0.305988455988456
Boxing,1984,65,12,26.083333333333332,0.0,0.5833333333333333,0.4681098166928078,4,0.2867063492063492,0.09114583333333333,0.06535694634265371,23,0.3118561390300521
Boxing,1988,81,12,31.0,0.0,0.1527777777777778,0.14565601107917392,8,0.1373647186147186,0.06857638888888888,0.05257212431812807,25,0.28534054834054834
Boxing,1992,69,12,26.666666666666668,0.0,0.3888888888888889,0.3163265306122451,5,0.2333333333333333,0.06944444444444445,0.06103910577014223,25,0.275018759018759
Boxing,1996,89,12,28.416666666666668,0.0,0.16666666666666666,0.12953848902537568,9,0.1661816578483245,0.07378472222222222,0.06222760996577591,22,0.34210120687393414
Boxing,2000,71,12,25.416666666666668,0.0,0.19444444444444448,0.19331970311255028,7,0.23168934240362815,0.0763888888888889,0.06439554944297887,22,0.42042666929030575
Boxing,2004,67,11,25.181818181818183,0.0,0.30578512396694213,0.2636933928404231,5,0.22601010101010105,0.08264462809917356,0.06961291912410547,20,0.40458874458874455
Boxing,2008,70,11,25.272727272727273,0.0,0.12396694214876033,0.11890716374526779,9,0.16200096200096198,0.07747933884297521,0.06157106459379907,20,0.3572276334776335
Boxing,2012,72,13,21.46153846153846,0.0,0.13609467455621302,0.1349520885130051,9,0.1819704986371653,0.06804733727810652,0.05859214414492389,20,0.3974080086580087
Boxing,2016,65,13,21.0,0.0,0.1597633136094675,0.1586877652188002,8,0.15830176767676768,0.08189158016147637,0.0727945669533628,19,0.36218766613503456
Boxing,2020,72,13,21.23076923076923,0.0,0.1597633136094675,0.1638198594394411,9,0.20971620971620972,0.0628698224852071,0.05406086015621312,25,0.4044155844155844
Canoe Slalom,1972,16,4,23.0,0.25,1.0,1.0,1,0.26666666666666666,0.3055555555555556,0.24680295087294982,5,0.1937179487179487
Canoe Slalom,1992,25,4,28.0,0.25,0.25,0.4267466912896276,4,0.1357142857142857,0.16666666666666669,0.16886831275720166,7,0.18367346938775508
Canoe Slalom,1996,29,4,29.0,0.25,0.25,0.25104595306554645,4,0.09128787878787878,0.20833333333333334,0.18794194333909023,6,0.2010942760942761
Canoe Slalom,2000,21,4,17.75,0.25,0.25,0.2525951557093426,4,0.1349206349206349,0.18055555555555558,0.16672178577736016,7,0.27460317460317457
Canoe Slalom,2004,21,4,17.75,0.25,0.5,0.5029585798816567,2,0.30952380952380953,0.19444444444444445,0.2022172938922411,6,0.3070767195767196
Canoe Slalom,2008,28,4,17.25,0.25,0.625,0.6249999999999999,2,0.4,0.1388888888888889,0.15210581273929685,9,0.40925925925925927
Canoe Slalom,2012,29,4,18.0,0.25,0.375,0.375,3,0.26666666666666666,0.1388888888888889,0.1366073839743837,8,0.3354166666666667
Canoe Slalom,2016,29,4,17.75,0.25,0.25,0.2967863894139887,4,0.2875,0.125,0.12445530874694442,9,0.3592592592592592
Canoe Slalom,2020,32,4,21.75,0.0,0.25,0.25443786982248523,4,0.2708333333333333,0.19444444444444445,0.19390581717451524,7,0.4523809523809524
Canoe Sprint,1964,21,7,13.571428571428571,0.5714285714285714,0.346938775510204,0.34854703189126635,3,0.2277167277167277,0.15646258503401356,0.13495503580034088,9,0.27844007844007845
Canoe Sprint,1968,26,7,15.571428571428571,0.5714285714285714,0.22448979591836732,0.22641456894631318,5,0.14993006993006994,0.2108843537414966,0.17552022437797282,7,0.3284215784215784
Canoe Sprint,1972,29,7,17.857142857142858,0.5714285714285714,0.7551020408163265,0.72504406345137,2,0.27622377622377625,0.17006802721088432,0.1466904536399602,10,0.2312787212787213
Canoe Sprint,1976,28,11,17.363636363636363,0.5454545454545454,0.38842975206611563,0.4051569296121855,4,0.43741258741258743,0.1992653810835629,0.26868560410319825,8,0.5508366633366634
Canoe Sprint,1980,23,11,15.363636363636363,0.5454545454545454,0.2892561983471075,0.2984550818298647,5,0.15499084249084247,0.17722681359044995,0.15506683209962435,8,0.3397004037629038
Canoe Sprint,1984,28,12,13.666666666666666,0.5833333333333334,0.20833333333333334,0.27154535408324926,6,0.2541125541125541,0.11265432098765432,0.17395613281315234,12,0.4992078523328523
Canoe Sprint,1988,32,12,17.083333333333332,0.5833333333333334,0.19444444444444448,0.17845799658016198,6,0.14211017740429507,0.14351851851851855,0.12406212080326857,10,0.32356792717086835
Canoe Sprint,1992,42,12,20.416666666666668,0.5833333333333334,0.3055555555555555,0.2776208304430353,6,0.21380023485286645,0.125,0.10253792472130382,14,0.26296774230487185
Canoe Sprint,1996,44,12,20.0,0.5833333333333334,0.20833333333333337,0.19025863702978624,6,0.16635338345864661,0.10030864197530864,0.10982679255094915,16,0.26288145790612893
