country_noc,sport,success_score_mean,total_golds,total_athletes,success_score_overall
AUT,Wrestling,0.0,0.0,35,0.0
AZE,Archery,0.0,0.0,1,0.0
AZE,Artistic Gymnastics,0.0,0.0,5,0.0
AZE,Athletics,0.0,0.0,24,0.0
AZE,Badminton,0.0,0.0,1,0.0
AZE,Boxing,0.0,0.0,42,0.0
AZE,Canoe Slalom,0.0,0.0,1,0.0
AZE,Canoe Sprint,0.0,0.0,4,0.0
AZE,Cycling Road,0.0,0.0,4,0.0
AZE,Cycling Track,0.0,0.0,1,0.0
AZE,Diving,0.0,0.0,2,0.0
AZE,Equestrian Jumping,0.0,0.0,2,0.0
AZE,Fencing,0.0,0.0,5,0.0
AZE,Judo,0.023809523809523808,1.0,38,0.02631578947368421
AZE,Karate,0.0,0.0,3,0.0
AZE,Rhythmic Gymnastics,0.0,0.0,8,0.0
AZE,Rowing,0.0,0.0,3,0.0
AZE,Shooting,0.07142857142857142,1.0,11,0.09090909090909091
AZE,Swimming,0.0,0.0,13,0.0
AZE,Taekwondo,0.05,1.0,11,0.09090909090909091
AZE,Triathlon,0.0,0.0,2,0.0
AZE,Weightlifting,0.0,0.0,21,0.0
AZE,Wrestling,0.05825920111634397,4.0,74,0.05405405405405406
AZE,Wushu,0.0,0.0,2,0.0
BAH,Athletics,0.036513090084518654,7.0,163,0.04294478527607362
BAH,Boxing,0.0,0.0,7,0.0
BAH,Cycling Track,0.0,0.0,2,0.0
BAH,Diving,0.0,0.0,1,0.0
BAH,Rowing,0.0,0.0,1,0.0
BAH,Sailing,0.041666666666666664,1.0,15,0.06666666666666667
BAH,Swimming,0.0,0.0,26,0.0
BAH,Tennis,0.0,0.0,7,0.0
BAH,Wrestling,0.0,0.0,2,0.0
BAN,Archery,0.0,0.0,4,0.0
BAN,Artistic Gymnastics,0.0,0.0,1,0.0
BAN,Athletics,0.0,0.0,19,0.0
BAN,Golf,0.0,0.0,1,0.0
BAN,Shooting,0.0,0.0,8,0.0
BAN,Swimming,0.0,0.0,15,0.0
BAR,Artistic Gymnastics,0.0,0.0,1,0.0
BAR,Artistic Swimming,0.0,0.0,1,0.0
BAR,Athletics,0.0,0.0,72,0.0
BAR,Boxing,0.0,0.0,9,0.0
BAR,Cycling Road,0.0,0.0,7,0.0
BAR,Cycling Track,0.0,0.0,12,0.0
BAR,Diving,0.0,0.0,1,0.0
BAR,Judo,0.0,0.0,5,0.0
BAR,Sailing,0.0,0.0,11,0.0
BAR,Shooting,0.0,0.0,8,0.0
BAR,Swimming,0.0,0.0,21,0.0
BAR,Tennis,0.0,0.0,1,0.0
BAR,Triathlon,0.0,0.0,1,0.0
BAR,Weightlifting,0.0,0.0,2,0.0
BDI,Athletics,0.02040816326530612,1.0,32,0.03125
BDI,Boxing,0.0,0.0,1,0.0
BDI,Judo,0.0,0.0,2,0.0
BDI,Swimming,0.0,0.0,9,0.0
BEL,3x3 Basketball,0.0,0.0,1,0.0
