sport,n_nations_mean,n_nations_max,athletes_per_event,pct_team_events,hhi_gold_mean,hhi_gold_athletes_mean,mean_gold_per_athletes,n_nations_with_gold,hhi_total_mean,hhi_total_athletes_mean,n_nations_with_medal,mean_total_per_athletes,n_editions
Bowling,20.0,20,12.0,0.0,,,,0.0,,,0.0,,1
Boxing,66.53333333333333,89,25.47049728049728,0.0,0.23911273937148061,0.21250326256349214,0.19927011708162504,6.933333333333334,0.08342701440331167,0.06779701350493524,20.866666666666667,0.3426394962204808,15
Canoe Slalom,25.555555555555557,32,21.13888888888889,0.2222222222222222,0.4166666666666667,0.44273007102029416,0.24034591951258616,3.111111111111111,0.18364197530864199,0.17551406769710926,7.111111111111111,0.3018313028828902,9
Canoe Sprint,36.333333333333336,47,17.45959595959596,0.5592352092352093,0.2697255486216525,0.273993883784286,0.22090739899823578,5.733333333333333,0.1299127963630128,0.1298609490090955,12.933333333333334,0.3223429350696307,15
Cycling BMX Freestyle,11.0,11,9.0,0.0,0.5,0.5,0.5,2.0,0.22222222222222227,0.23555555555555557,5.0,0.75,1
Cycling BMX Racing,21.75,23,24.0,0.0,0.5,0.5441645408163266,0.2958333333333333,2.0,0.3055555555555556,0.3233039942645467,3.75,0.49402777777777773,4
Cycling Mountain Bike,33.857142857142854,37,38.357142857142854,0.0,0.5,0.583003140409603,0.3666666666666667,2.0,0.23015873015873017,0.23532706591052804,5.285714285714286,0.35674603174603176,7
Cycling Road,48.333333333333336,67,70.95,0.23333333333333334,0.42129629629629634,0.4418189584164755,0.17814153439153438,2.8666666666666667,0.2036918001564466,0.20212233053178164,6.466666666666667,0.2207465165639769,15
Cycling Track,35.266666666666666,47,20.558095238095238,0.29563492063492064,0.35991855631141345,0.35333547707652835,0.23794025110691777,4.466666666666667,0.16052759825169519,0.14368003310370522,10.733333333333333,0.31497670186031823,15
Diving,28.2,42,24.45,0.2,0.55,0.5529173341068553,0.2880407092907093,2.533333333333333,0.3125,0.2845260836881188,5.733333333333333,0.4228886632180283,15
Equestrian Dressage,16.866666666666667,28,25.766666666666666,0.5,0.7,0.7083333333333334,0.41000000000000003,1.6,0.36666666666666664,0.3640826952510768,3.2666666666666666,0.5510185185185185,15
